animal,video_folder,session,trial_index,door_open_sec,door_close_sec,frame_id_start,frame_id_end,frame_count
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,27,1767386343.019,1767386375.454,402686,408523,5838
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,28,1767386427.811,1767386689.502,417948,465052,47105
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,29,1767386739.467,1767386835.401,474046,491313,17268
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,30,1767386889.091,1767386910.99,500978,504919,3942
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,0,1767474997.456,1767475054.378,19354,29599,10246
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,1,1767475101.895,1767475128.152,38153,42878,4726
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,2,1767475173.577,1767475195.415,51056,54985,3930
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,3,1767475247.666,1767475265.024,64392,67515,3124
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,4,1767475330.525,1767475356.38,79306,83959,4654
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,5,1767475409.737,1767475433.687,93564,97874,4311
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,6,1767475479.867,1767475502.136,106187,110194,4008
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,7,1767475547.921,1767475579.559,118437,124130,5694
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,8,1767475631.405,1767475639.257,133463,134876,1414
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,9,1767475699.314,1767475714.334,145687,148389,2703
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,10,1767475774.734,1767475794.13,159262,162753,3492
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,11,1767475848.297,1767475859.43,172503,174506,2004
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,12,1767475912.861,1767475923.018,184125,185952,1828
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,13,1767475968.458,1767475983.994,194132,196928,2797
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,14,1767476029.039,1767476038.361,205037,206713,1677
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,15,1767476084.089,1767476091.814,214945,216335,1391
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,16,1767476137.182,1767476144.065,224502,225740,1239
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,17,1767476189.064,1767476196.163,233841,235117,1277
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,18,1767476241.202,1767476249.619,243225,244739,1515
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,19,1767476294.694,1767476316.365,252854,256754,3901
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,20,1767476361.089,1767476382.531,264805,268663,3859
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,21,1767476435.61,1767476465.432,278218,283585,5368
